x,y,z,d,std,arr_time,heap_time
1,1,10000,189.0631,108.93706218909155,-1,14.35410337895155
1,1,100000,190.22308,109.48132121651437,-1,139.8494789674878
1,2,1,258.0,0.0,-1,0.0015651881694793701
1,2,10,228.9,102.35961117550224,-1,0.015228427946567535
1,2,100,201.04,111.66180367520491,-1,0.14819667488336563
1,2,1000,191.305,113.5886965107004,-1,1.4034515619277954
1,2,10000,200.3202,114.72483371946981,-1,13.80249061435461
1,2,100000,199.58001,114.62341906608746,-1,136.95221055299044
1,3,1,259.0,0.0,-1,0.0015054494142532349
1,3,10,156.5,100.5497389355139,-1,0.01425771415233612
1,3,100,168.87,100.69226931597083,-1,0.14147678017616272
1,3,1000,185.324,107.76557439182515,-1,1.3972164317965508
1,3,10000,190.912,108.67681747272506,-1,13.893615804612637
1,3,100000,190.33251,109.29719157919796,-1,138.04256232827902
1,4,1,196.0,0.0,-1,0.0013931021094322205
1,4,10,98.7,53.85916820746492,-1,0.014093384146690369
1,4,100,196.17,111.87404122494189,-1,0.1375626027584076
1,4,1000,191.006,108.57563245959012,-1,1.4462493434548378
1,4,10000,189.4786,109.71258698089294,-1,13.79751691967249
1,4,100000,191.28595,109.59209443476067,-1,138.483987942338
1,5,1,154.0,0.0,-1,0.00145731121301651
1,5,10,261.6,131.5151702276205,-1,0.013819463551044464
1,5,100,225.43,132.4261496079985,-1,0.13535580784082413
1,5,1000,241.646,134.03610962721947,-1,1.3454732075333595
1,5,10000,233.4285,136.34985180685015,-1,13.424238249659538
1,5,100000,234.43013,134.51381787081615,-1,135.51711151748896
1,6,1,283.0,0.0,-1,0.0014768466353416443
1,6,10,200.4,117.08731784441899,-1,0.014076337218284607
1,6,100,193.34,113.66223823240506,-1,0.14046431332826614
1,6,1000,191.087,107.06108270982506,-1,1.3879404515028
1,6,10000,190.4131,110.0427446422071,-1,13.60097412019968
1,6,100000,189.2746,109.18497824719296,-1,136.20486226677895
1,7,1,50.0,0.0,-1,0.0014013200998306274
1,7,10,250.7,116.39591917245208,-1,0.013535574078559875
1,7,100,231.43,127.72041770993391,-1,0.1345164179801941
1,7,1000,225.175,131.47429549155225,-1,1.3567907363176346
1,7,10000,228.0324,130.56967929132705,-1,13.587319023907185
1,7,100000,227.53341,130.2017625217566,-1,134.76935974508524
1,8,1,408.0,0.0,-1,0.0014095157384872437
1,8,10,199.8,89.63682279063666,-1,0.01397639513015747
1,8,100,216.43,121.79928201758827,-1,0.13599205017089844
1,8,1000,213.936,122.42558516911406,-1,1.3498917445540428
1,8,10000,210.9676,121.41462329653706,-1,13.725075632333755
1,8,100000,211.78299,121.31502082042395,-1,134.47760189324617
1,9,1,370.0,0.0,-1,0.0013968795537948608
1,9,10,251.1,146.38473281049497,-1,0.015568986535072327
1,9,100,243.64,124.12538177181976,-1,0.1373339742422104
1,9,1000,234.826,132.85413702252558,-1,1.3838673159480095
1,9,10000,231.1802,133.2183445624513,-1,13.330824039876461
1,9,100000,231.91902,133.3611273281671,-1,133.86097986251116
10001,1,1,3.0,0.0,-1,0.007686279714107513
10001,1,10,2.5,0.806225774829855,-1,0.059017859399318695
10001,1,100,2.52,0.4995998398718718,-1,0.580502063035965
10001,1,1000,2.585,0.5520643078482796,-1,5.814955860376358
10001,1,10000,2.5872,0.533100515850435,-1,57.74439837783575
10001,1,100000,2.58605,0.5357195138316317,-1,581.5759242549539
10001,2,1,4.0,0.0,-1,0.007394738495349884
10001,2,10,4.8,0.6,-1,0.05977630615234375
10001,2,100,4.58,0.7639371701913711,-1,0.5968164652585983
10001,2,1000,4.446,0.7880888274807606,-1,6.07748743891716
10001,2,10000,4.4404,0.8084849040025422,-1,59.83943963050842
1,1,100,216.49,138.0112672936525,-1,0.13731814175844193
1,1,10000,217.6246,125.59502408471444,-1,14.312168829143047
1,1,100,194.12,109.27673860433427,-1,0.13145165890455246
1,1,1000,193.395,113.6029884069957,-1,1.4202791452407837
1,1,10000,194.7704,112.79727161523013,-1,14.157842546701431
1,10,100,187.12,110.47726281909775,-1,0.13907019793987274
1,10,1000,190.484,109.8524635317752,-1,1.4160598292946815
